"seed","NodeNames","Structure","ATC","Distance","Jaccard","GO","KEGG","PCA","RWR","class"
"DB00014","DB01217",0.2,0.4,0.269879518072289,0.142857142857143,0.207138026645026,0.4,0.691789548737221,0.00589213337634885,"synergistic"
"DB00014","DB01128",0.35,0.6,0.278145695364238,0.0588235294117647,0.175661375661376,0.125,0.574229537248306,0.00445818049576921,"synergistic"
"DB00091","DB00877",0.4,0.666666666666667,0.287788563504364,0.116071428571429,0.283361958673641,0.126666666666667,0.715658745753319,0.0151304880716017,"synergistic"
"DB00158","DB00293",0.46,0,0.3162055,0.1875,0.2745295,0.1875,0.5771995,0.0326591053952276,"antagonistic"
"DB00162","DB00755",0.9,0.1333333,0.2941634,0.07246377,0.1396692,0.05,0.4933618,0.105436717629681,"antagonistic"
"DB00175","DB00641",0.87,0.4833333,0.2628062,0.253012,0.4333773,0.1612903,0.9591921,0.0259404795215782,"synergistic"
"DB00175","DB01241",0.16,0.5,0.2678239,0.1428571,0.2038069,0.2592593,0.6360279,0.0179098001219462,"antagonistic"
"DB00182","DB01577",0.84,0.8,0.2713249,0.2916667,0.3690198,0.64,1.316362,0.00356530723370032,"antagonistic"
"DB00182","DB00726",0.14,0.4,0.2634579,0.2058824,0.3978995,0.3714286,0.81745,0.00241751425263117,"antagonistic"
"DB00182","DB00458",0.14,0.4,0.2578288,0.1688312,0.3816968,0.3939394,0.7952278,0.00237474451171809,"antagonistic"
"DB00182","DB06216",0.15,0.2,0.260521,0.1666667,0.4714269,0.3928571,0.7816873,0.00236452321414022,"antagonistic"
"DB00182","DB00191",0.84,0,0.2692308,0.2352941,0.2553174,0.56,0.885359,0.00235262603553486,"antagonistic"
"DB00182","DB01151",0.14,0.4,0.2657847,0.2289157,0.3580894,0.375,0.8100042,0.00234821509624355,"antagonistic"
"DB00182","DB00408",0.09,0.2,0.2570153,0.1774194,0.4723634,0.3333333,0.7404527,0.00228182246457519,"antagonistic"
"DB00182","DB00422",0.19,0.8,0.2611972,0.1052632,0.2951442,0.3461538,0.8278282,0.00227398918743465,"antagonistic"
"DB00182","DB00540",0.17,0.4,0.2692155,0.2133333,0.3038081,0.3571429,0.7647677,0.00224876469203008,"antagonistic"
"DB00182","DB00289",0.21,0.8,0.267231,0.1304348,0.3183941,0.2702703,0.8220798,0.00223728293419318,"antagonistic"
"DB00185","DB00376",0.23,0.2,0.2966102,0.3636364,0.7058372,0.6666667,1.231669,0.00374682781854812,"antagonistic"
"DB00186","DB00425",0.3,0.4,0.2714932,0.1875,0.3225728,0.5789474,0.9158884,0.00363251907370742,"antagonistic"
"DB00186","DB00334",0.32,0.4,0.2529697,0.0619469,0.1508729,0.5185185,0.6972761,0.00264154121854196,"antagonistic"
"DB00186","DB00252",0.27,0.2,0.2544812,0.2236842,0.1651795,0.425,0.6746463,0.00257515532552813,"antagonistic"
"DB00188","DB00762",0.37,0.8,0.3021533,0.025,0.2405187,0.3358779,0.7907546,0.00364052959136702,"synergistic"
"DB00188","DB02546",0.12,0.8,0.32439,0.02068966,0.2902808,0.4848485,0.845871,0.00351717690651399,"synergistic"
"DB00188","DB01248",0.33,0.4,0.3082255,0.03723404,0.3278081,0.4666667,0.7769383,0.00341950266333333,"antagonistic"
"DB00188","DB09053",0.33,0.6,0.3183596,0.008,0.2642422,0.3655914,0.735122,0.00336969317557278,"synergistic"
"DB00188","DB06589",0.29,0.6,0.307841,0.02358491,0.2806919,0.3583333,0.7389503,0.00336872527884586,"antagonistic"
"DB00188","DB04868",0.3,0.6,0.3052321,0.01197605,0.1744952,0.2868852,0.6280514,0.00285207999543825,"antagonistic"
"DB00188","DB06603",0.29,0.8,0.3227144,0.008928571,0.1375426,0.2352941,0.6460909,0.00260209106432819,"synergistic"
"DB00188","DB00541",0.38,0.4,0.3069556,0.0295858,0.2432194,0.2435897,0.6074039,0.00260121595076479,"synergistic"
"DB00188","DB00675",0.22,0.2,0.303393,0.03508772,0.2652296,0.3095238,0.5513894,0.00230852342659558,"synergistic"
"DB00191","DB01577",0.72,0,0.2804878,0.1875,0.1952557,0.875,0.9669181,0.00792615136638497,"antagonistic"
"DB00191","DB01576",0.84,0,0.2692308,0.2608696,0.3111913,0.3181818,0.8012214,0.00665663903049576,"antagonistic"
"DB00191","DB00289",0.2,0,0.2786885,0.1666667,0.2965363,0.2413793,0.535623,0.00448145908263201,"antagonistic"
"DB00191","DB00422",0.19,0,0.2725061,0.09090909,0.1411677,0.4117647,0.4828564,0.00403488103954182,"antagonistic"
"DB00193","DB01238",0.29,0.2,0.2562972,0.2159091,0.4522565,0.5,0.8940148,0.00263511285557776,"antagonistic"
"DB00193","DB00502",0.44,0.2,0.2574356,0.116129,0.2957878,0.6666667,0.8639747,0.00244600073455146,"antagonistic"
"DB00193","DB00726",0.24,0.2,0.2584777,0.2027027,0.405237,0.4166667,0.798452,0.0023532243438487,"antagonistic"
"DB00193","DB01151",0.23,0.2,0.2599532,0.1595745,0.4145185,0.4242424,0.7789579,0.00231320227152961,"antagonistic"
"DB00193","DB01242",0.25,0.2,0.2616162,0.15,0.3370827,0.4482759,0.7437546,0.00221149487724191,"antagonistic"
"DB00195","DB01182",0.4,0.1,0.3235294,0.1428571,0.1409815,0.6,0.7185099,0.00356637040465929,"antagonistic"
"DB00201","DB08881",0.31,0,0.2911373,0.03296703,0.1565521,0.5454545,0.5636898,0.00505372056092811,"antagonistic"
"DB00202","DB00981",0.07,0,0.2549575,0.1538462,0.2554818,0.4444444,0.5782544,0.00266742735975953,"antagonistic"
"DB00203","DB00862",0.7,0.5,0.2777778,0.25,0.1849793,0.1111111,0.7437581,0.0323236861349971,"antagonistic"
"DB00203","DB01162",0.4,0.3,0.2613065,0.05555556,0.09763766,0.2105263,0.4750515,0.0181459214828528,"antagonistic"
"DB00205","DB09274",0.23,0.6952381,0.3120567,0.04545455,0.07182096,0.1785714,0.5433198,0.212713322226132,"synergistic"
"DB00208","DB00758",0.6,0.8,0.2643588,0.175,0.1246668,0.1860465,0.7783077,0.00582119640321961,"antagonistic"
"DB00208","DB01166",0.22,0.8,0.2758621,0.2272727,0.1277335,0.2173913,0.740722,0.0055067295730929,"antagonistic"
"DB00208","DB00956",0.27,0,0.2903226,0.2857143,0.1739257,0.2142857,0.5400491,0.00419079051033186,"antagonistic"
"DB00208","DB00374",0.21,0.8,0.2511628,0.04761905,0.116258,0.02173913,0.5025718,0.00364099695992644,"antagonistic"
"DB00208","DB00682",0.22,0.6,0.2669426,0.06896552,0.06751897,0.1458333,0.4912564,0.00352521657752858,"antagonistic"
"DB00209","DB01591",0.32,0.3333333,0.32,0.3,0.4074342,0.6153846,1.052514,0.00383366574813385,"synergistic"
"DB00213","DB00582",0.34,0,0.2783726,0.12,0.1851852,0.3076923,0.5083745,0.00895478207672438,"antagonistic"
"DB00215","DB00472",0.24,0.6,0.2586917,0.3373494,0.460938,0.3809524,1.038331,0.00320300306887536,"synergistic"
"DB00215","DB01242",0.24,0.6,0.2647601,0.2345679,0.3704803,0.4375,0.9502518,0.00300206348346483,"antagonistic"
"DB00215","DB00458",0.22,0.6,0.2542013,0.2209302,0.3994369,0.3043478,0.8779445,0.00288954473288164,"antagonistic"
"DB00215","DB01151",0.21,0.6,0.2615712,0.2061856,0.396192,0.3333333,0.8819962,0.0028179760189611,"antagonistic"
"DB00215","DB00321",0.29,0.5,0.2580114,0.1981132,0.3873532,0.35,0.8644248,0.0027534477710853,"antagonistic"
"DB00215","DB00540",0.29,0.6,0.2645161,0.1777778,0.3698787,0.2941176,0.8460699,0.00268081127472952,"antagonistic"
"DB00215","DB00726",0.22,0.6,0.2589814,0.1547619,0.3504881,0.28,0.7932961,0.00259757732140726,"antagonistic"
"DB00215","DB00656",0.26,0.6,0.261563,0.1666667,0.2112159,0.3529412,0.7659055,0.00255686798365747,"antagonistic"
"DB00215","DB00543",0.27,0.6,0.2552408,0.1333333,0.3165962,0.25,0.7534114,0.00251332167022279,"antagonistic"
"DB00215","DB06144",0.31,0.2,0.2595932,0.1666667,0.4036868,0.3125,0.7338994,0.00246448123859995,"antagonistic"
"DB00215","DB01104",0.4,0.8,0.2782302,0.1641791,0.2077421,0.2631579,0.8200813,0.0023995803405778,"antagonistic"
"DB00215","DB01267",0.35,0.2,0.2606277,0.1428571,0.351429,0.3125,0.6965465,0.00235737671942243,"antagonistic"
"DB00215","DB01224",0.3,0.2,0.2552638,0.159292,0.3715733,0.28,0.6878543,0.00231527369452149,"antagonistic"
"DB00215","DB01238",0.28,0.2,0.2557849,0.127451,0.3961514,0.28,0.6780755,0.00228539903578878,"antagonistic"
"DB00215","DB00246",0.3,0.2,0.2507156,0.1470588,0.3615881,0.3125,0.6910206,0.00227883731080642,"antagonistic"
"DB00215","DB00502",0.29,0.2,0.2616777,0.1455696,0.3604515,0.3333333,0.701051,0.00225130305603883,"antagonistic"
