"drug_A","drug_B","Jaccard"
"DB00178","DB00542",0
"DB00178","DB00492",0
"DB00188","DB08911",0
"DB00188","DB12001",0
"DB00188","DB09073",0.01
"DB00188","DB01229",0.01
"DB00188","DB11828",0
"DB00188","DB01259",0
"DB00188","DB00773",0
"DB00188","DB08901",0
"DB00188","DB08896",0
"DB00188","DB05294",0
"DB00188","DB00398",0
"DB00188","DB01268",0.01
"DB00188","DB01204",0
"DB00188","DB06595",0
"DB00188","DB00441",0.01
"DB00188","DB00445",0
"DB00188","DB09330",0
"DB00188","DB05239",0
"DB00188","DB08881",0
"DB00188","DB08877",0.01
"DB00188","DB00853",0
"DB00188","DB00563",0.01
"DB00188","DB00544",0.01
"DB00188","DB00291",0.01
"DB00201","DB09054",0
"DB00242","DB00563",0
"DB00242","DB01204",0
"DB00242","DB01590",0.01
"DB00242","DB00291",0
"DB00282","DB00399",0.01
"DB00291","DB00853",0
"DB00291","DB01204",0
"DB00291","DB00445",0
"DB00291","DB11581",0
"DB00291","DB09053",0
"DB00291","DB11793",0
"DB00291","DB00305",0
"DB00291","DB00441",0
"DB00291","DB11730",0
"DB00291","DB01248",0
"DB00291","DB08911",0
"DB00291","DB01101",0
"DB00291","DB12332",0
"DB00291","DB11828",0
"DB00294","DB00624",0
"DB00307","DB00762",0
"DB00307","DB11581",0
"DB00307","DB11793",0
"DB00307","DB12332",0
"DB00317","DB01229",0
"DB00317","DB11828",0
"DB00317","DB08875",0
"DB00317","DB08881",0
"DB00317","DB11581",0
"DB00317","DB12001",0
"DB00317","DB11730",0
"DB00317","DB00441",0.01
"DB00317","DB01248",0
"DB00317","DB00773",0
"DB00317","DB09078",0
"DB00317","DB01101",0.01
"DB00317","DB01204",0
"DB00317","DB00445",0
"DB00331","DB01259",0
"DB00331","DB08901",0.01
"DB00331","DB06595",0
"DB00331","DB08865",0.01
"DB00331","DB01017",0.01
"DB00367","DB00481",0
"DB00398","DB08881",0.01
"DB00398","DB08875",0
"DB00398","DB11828",0
"DB00398","DB05239",0
"DB00398","DB08865",0.01
"DB00398","DB11581",0
"DB00398","DB00441",0.01
"DB00398","DB12001",0
"DB00398","DB11730",0
"DB00398","DB09330",0
"DB00398","DB09054",0
"DB00398","DB00773",0
"DB00398","DB01204",0
"DB00398","DB06626",0.01
"DB00398","DB00445",0
"DB00421","DB00700",0
"DB00441","DB00762",0
"DB00441","DB01254",0
"DB00441","DB05294",0
"DB00441","DB00530",0.01
"DB00441","DB12001",0
"DB00441","DB00773",0.01
"DB00441","DB08901",0
"DB00441","DB11730",0
"DB00441","DB08875",0
"DB00441","DB08916",0.01
"DB00441","DB09330",0.01
"DB00441","DB06595",0
"DB00441","DB06616",0
"DB00441","DB04868",0.01
"DB00441","DB01204",0
"DB00441","DB00853",0.01
"DB00441","DB01262",0.01
"DB00441","DB09063",0
"DB00441","DB09078",0.01
"DB00445","DB00773",0
"DB00445","DB01229",0
"DB00445","DB00544",0
"DB00445","DB00762",0
"DB00445","DB00541",0
"DB00445","DB01101",0.01
"DB00445","DB12001",0
"DB00445","DB00530",0
