"DrugBankID","ENTREZID","Symbol"
"DB06151",19,"ABCA1"
"DB06151",23461,"ABCA5"
"DB06151",5243,"ABCB1"
"DB06151",4363,"ABCC1"
"DB06151",1244,"ABCC2"
"DB06151",8714,"ABCC3"
"DB06151",9619,"ABCG1"
"DB06151",59,"ACTA2"
"DB06151",80332,"ADAM33"
"DB06151",196,"AHR"
"DB06151",9131,"AIFM1"
"DB06151",9255,"AIMP1"
"DB06151",8644,"AKR1C3"
"DB06151",207,"AKT1"
"DB06151",217,"ALDH2"
"DB06151",238,"ALK"
"DB06151",54890,"ALKBH5"
"DB06151",23600,"AMACR"
"DB06151",283,"ANG"
"DB06151",284,"ANGPT1"
"DB06151",328,"APEX1"
"DB06151",351,"APP"
"DB06151",367,"AR"
"DB06151",405,"ARNT"
"DB06151",420,"ART4"
"DB06151",1386,"ATF2"
"DB06151",468,"ATF4"
"DB06151",22926,"ATF6"
"DB06151",9140,"ATG12"
"DB06151",22863,"ATG14"
"DB06151",55054,"ATG16L1"
"DB06151",115201,"ATG4A"
"DB06151",9474,"ATG5"
"DB06151",10533,"ATG7"
"DB06151",472,"ATM"
"DB06151",488,"ATP2A2"
"DB06151",9114,"ATP6V0D1"
"DB06151",545,"ATR"
"DB06151",6310,"ATXN1"
"DB06151",9212,"AURKB"
"DB06151",567,"B2M"
"DB06151",571,"BACH1"
"DB06151",572,"BAD"
"DB06151",9531,"BAG3"
"DB06151",578,"BAK1"
"DB06151",581,"BAX"
"DB06151",27113,"BBC3"
"DB06151",596,"BCL2"
"DB06151",598,"BCL2L1"
"DB06151",10018,"BCL2L11"
"DB06151",627,"BDNF"
"DB06151",8678,"BECN1"
"DB06151",637,"BID"
"DB06151",638,"BIK"
"DB06151",329,"BIRC2"
"DB06151",330,"BIRC3"
"DB06151",332,"BIRC5"
"DB06151",669,"BPGM"
"DB06151",694,"BTG1"
"DB06151",834,"CASP1"
"DB06151",843,"CASP10"
"DB06151",835,"CASP2"
"DB06151",836,"CASP3"
"DB06151",837,"CASP4"
"DB06151",839,"CASP6"
"DB06151",840,"CASP7"
"DB06151",841,"CASP8"
"DB06151",842,"CASP9"
"DB06151",847,"CAT"
"DB06151",857,"CAV1"
"DB06151",6356,"CCL11"
"DB06151",6361,"CCL17"
"DB06151",6362,"CCL18"
"DB06151",6347,"CCL2"
"DB06151",6364,"CCL20"
"DB06151",6367,"CCL22"
"DB06151",6369,"CCL24"
"DB06151",6352,"CCL5"
"DB06151",6355,"CCL8"
"DB06151",3491,"CCN1"
"DB06151",8900,"CCNA1"
"DB06151",890,"CCNA2"
"DB06151",891,"CCNB1"
"DB06151",595,"CCND1"
"DB06151",894,"CCND2"
"DB06151",896,"CCND3"
"DB06151",929,"CD14"
"DB06151",948,"CD36"
"DB06151",959,"CD40LG"
"DB06151",942,"CD86"
"DB06151",999,"CDH1"
"DB06151",1012,"CDH13"
"DB06151",1000,"CDH2"
"DB06151",1003,"CDH5"
"DB06151",983,"CDK1"
"DB06151",1022,"CDK7"
"DB06151",1026,"CDKN1A"
"DB06151",1027,"CDKN1B"
"DB06151",1029,"CDKN2A"
"DB06151",1053,"CEBPE"
"DB06151",8837,"CFLAR"
"DB06151",1080,"CFTR"
"DB06151",1111,"CHEK1"
"DB06151",11200,"CHEK2"
"DB06151",1147,"CHUK"
"DB06151",9076,"CLDN1"
"DB06151",7122,"CLDN5"
"DB06151",1195,"CLK1"
"DB06151",1270,"CNTF"
"DB06151",80781,"COL18A1"
"DB06151",1277,"COL1A1"
"DB06151",1278,"COL1A2"
"DB06151",1282,"COL4A1"
"DB06151",1363,"CPE"
"DB06151",8738,"CRADD"
"DB06151",1385,"CREB1"
"DB06151",1407,"CRY1"
"DB06151",1431,"CS"
"DB06151",1437,"CSF2"
"DB06151",1441,"CSF3R"
"DB06151",1499,"CTNNB1"
"DB06151",1506,"CTRL"
"DB06151",1508,"CTSB"
"DB06151",2919,"CXCL1"
"DB06151",6387,"CXCL12"
"DB06151",2920,"CXCL2"
"DB06151",6372,"CXCL6"
"DB06151",3576,"CXCL8"
"DB06151",54205,"CYCS"
"DB06151",1584,"CYP11B1"
"DB06151",1585,"CYP11B2"
"DB06151",1543,"CYP1A1"
"DB06151",1544,"CYP1A2"
"DB06151",1545,"CYP1B1"
"DB06151",1557,"CYP2C19"
"DB06151",1559,"CYP2C9"
"DB06151",1576,"CYP3A4"
"DB06151",1579,"CYP4A11"
"DB06151",1649,"DDIT3"
"DB06151",54541,"DDIT4"
"DB06151",1673,"DEFB4A"
"DB06151",84649,"DGAT2"
"DB06151",22943,"DKK1"
"DB06151",1742,"DLG4"
"DB06151",3337,"DNAJB1"
"DB06151",11080,"DNAJB4"
"DB06151",4189,"DNAJB9"
"DB06151",1786,"DNMT1"
"DB06151",1789,"DNMT3B"
"DB06151",1834,"DSPP"
"DB06151",1846,"DUSP4"
"DB06151",1854,"DUT"
"DB06151",1869,"E2F1"
"DB06151",1906,"EDN1"
"DB06151",1948,"EFNB2"
"DB06151",1950,"EGF"
"DB06151",1956,"EGFR"
"DB06151",1958,"EGR1"
"DB06151",1959,"EGR2"
"DB06151",9451,"EIF2AK3"
"DB06151",1965,"EIF2S1"
"DB06151",1978,"EIF4EBP1"
"DB06151",2021,"ENDOG"
"DB06151",5168,"ENPP2"
"DB06151",2033,"EP300"
"DB06151",2034,"EPAS1"
"DB06151",2067,"ERCC1"
"DB06151",1161,"ERCC8"
"DB06151",2081,"ERN1"
