Gene,Gene signature,Description,PMID
ANGPT1,Angiogenesis,"ANGPT1 functions as a TIE2 agonist, which induces receptor phosphorylation and activates downstream signalling pathways. ANGPT1-induced TIE2 activation results in endothelial cell survival signals and the maintenance of the endothelial barrier and quiescent vasculature.",20651738
ANGPT2,Angiogenesis,"ANGPT2 normally functions as an ANGPT1antagonist and increases vascular permeability, destabilizes quiescent vasculature and primes the endothelial bed for angiogenesis. When functioning as an ANGPT1n antagonist, ANGPT2 promotes the dissociation of pericytes from pre-existing vessels and increases vascular permeability, which facilitates the infiltration of proteases, cytokines and angiogenic myeloid cells — which prime the vasculature for a robust angiogenic response in the presence of growth factors such as VEGFA.",20651738
CDH5,Angiogenesis,"Vascular endothelial (VE)-cadherin is specifically expressed in the endothelium. Previous work showed that VE-cadherin associates to VEGF-R2 and modulate its signaling pathways. In the absence of VE-cadherin, VEGF-R2 is heavily tyrosinephosphorylated and promotes endothelial cell growth in anuncontrolled way, accompanied by an increase in cell apoptosis.",16256984
CXCL5,Angiogenesis,"CXCL5, a member of the CXC chemokine family, has been shown to be involved in angiogenesis, tumor growth, and metastasis. Overexpression of CXCL5 is associated with poor survival in patients with pancreatic cancer. Overexpression of CXCL5 is significantly correlated with poorer tumor differentiation, advanced clinical stage, and shorter patient survival.",21356384
CXCL8,Angiogenesis,"IL8 is a proinflammatory CXC chemokine associated with the promotion of neutrophil chemotaxis and degranulation. As a consequence of the diversity of effectors and downstream targets, IL-8 signaling promotes angiogenic responses in endothelial cells, increases proliferation and survival of endothelial and cancer cells, and potentiates the migration of cancer cells, endothelial cells, and infiltrating neutrophils at the tumor site. IL-8 signaling has been implicated in regulating the transcriptional activity of the androgen receptor, underpinning the transition to an androgen-independent proliferation of prostate cancer cells. In addition, stress and drug-induced IL-8 signaling has been shown to confer chemotherapeutic resistance in cancer cells.",18980965
CXCR2,Angiogenesis,"CXC-chemokine receptor type 2 (CXCR2) was reported to play critical roles in angiogenesis, tumorigenesis, and metastasis of several cancers such as colon cancer, melanoma, lung cancer, and so on.",22274915
FLT1,Angiogenesis,"VEGF receptors, Flt-1, KDR, and Flt-4 form a subfamily within the platelet-derived growth factor receptor class.",19701853
KDR,Angiogenesis,"VEGF receptors, Flt-1, KDR, and Flt-4 form a subfamily within the platelet-derived growth factor receptor class. Strong KDR expression was associated with histological transformation of FL, and both VEGF and VEGF-C expression were upregulated in biopsies taken at the time of transformation as compared to the primary FL biopsies, suggesting a possible role of the angiogenic molecules in the progression from FL to DLBCL.",19701853
PDGFC,Angiogenesis,"An increasing number of studies indicate a multi-faceted role for PDGFC: it is involved in angiogenesis, fibroblast recruitment and the stimulation of tumour growth through an autocrine mechanism. A recent study also reports that, similar to other PDGF family members, PDGFC might recruit pericytes, resulting in the formation of more mature, stabilized blood vessels that are refractory to anti-VEGF treatment.",20574450
PGF,Angiogenesis,"PIGF expression, unlike that of VEGF, is undetectable in most organs in healthy conditions, but is highly upregulated in tumor conditions, contributing to the angiogenic and inflammatory switch. In tumors, PlGF is not only produced by malignant cells, but also by endothelial cells, smooth-muscle cells, pericytes, cancer-associated fibroblasts, tumor-associated macrophages, and various other inflammatory cells in tumor stroma. PlGF induces various biological effects by affecting a wide range of different cell types. PlGF can stimulate vessel growth and maturation directly by affecting endothelial and mural cells, and indirectly by recruiting pro-angiogenic cell types. For example, PlGF stimulates the growth, migration and survival of endothelial cells, increases the proliferations of fibroblasts and smooth-muscle cells, induces vasodilatation, and stimulates collateral vessel growth. It also promotes the recruitment and maturation of angiogenesis-competent myeloid progenitors to growing sprouts and collateral vessels. In addition, PlGF activates and attracts macrophages that release angiogenic and lymphangiogenic molecules, and inhibits the differentiation of dendritic cells.",22217448
TEK,Angiogenesis,"ANGPT1 functions as a TIE2 receptor agonist, and ANGPT2 normally functions as an ANGPT1 antagonist. TIE2 is predominantly expressed on endothelial cells and binds all the known ANGPT ligands.",20651738
VEGFA,Angiogenesis,"VEGF is one of the most potent angiogenic stimulants with several biologic effects, including the maintenance and the survival of newly formed blood vessels.",19582455
VEGFB,Angiogenesis,"This growth factor is able to directly stimulate endothelial-cell growth and migration by increasing the secretion of proteinases in vitro and to promote capillary tube formation in Matrigel in vivo. In many cases, VEGFB levels are increased in malignant tissues, such as in ovarian, colorectal, renal cell and prostate cancer.",19029957
